RA,ANO,FASE,FASE_IDEAL,DEFASAGEM_FORNECIDA,INDE,PEDRA,IAN,IDA,IEG,IAA,IPS,IPP,IPV,NOTA_MATEMATICA,NOTA_PORTUGUES,NOTA_INGLES,INDICADO,ATINGIU_PV,TURMA,GENERO,ANO_INGRESSO,INSTITUICAO_ENSINO,ANO_NASCIMENTO,DEFASAGEM_CALCULADA,IDADE_ANOS,ALVO_RISCO_DEFASAGEM_PROX_ANO
1,2022,7.0,8.0,-1,5.783,QUARTZO,5.0,4.0,4.1,8.3,5.6,,7.278,2.7,3.5,6.0,SIM,NAO,A,FEMININO,2016,ESCOLA PUBLICA,2003,-1.0,19,0.0
1,2023,8.0,8.0,0,,,10.0,,,,,,,,,,,,8E,FEMININO,2016,PRIVADA PARCERIAS COM BOLSA 100,2003,0.0,20,0.0
1,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8E,FEMININO,2021,PRIVADA PARCERIAS COM BOLSA 100,2003,0.0,21,
2,2022,7.0,7.0,0,7.055,AMETISTA,10.0,6.8,5.2,8.8,6.3,,6.778,6.3,4.5,9.7,NAO,NAO,A,FEMININO,2017,REDE DECISAO,2005,0.0,17,0.0
2,2023,8.0,8.0,0,,,10.0,,,,,,,,,,,,8E,FEMININO,2017,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,18,0.0
2,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8E,FEMININO,2021,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,19,
3,2022,7.0,7.0,0,6.591,AGATA,10.0,5.6,7.9,0.0,5.6,,7.556,5.8,4.0,6.9,NAO,NAO,A,FEMININO,2016,REDE DECISAO,2005,0.0,17,
4,2022,7.0,7.0,0,5.951,QUARTZO,10.0,5.0,4.5,8.8,5.6,,5.278,2.8,3.5,8.7,NAO,NAO,A,MASCULINO,2017,REDE DECISAO,2005,0.0,17,
5,2022,7.0,7.0,0,7.427,AMETISTA,10.0,5.2,8.6,7.9,5.6,,7.389,7.0,2.9,5.7,NAO,NAO,A,FEMININO,2016,REDE DECISAO,2005,0.0,17,0.0
5,2023,8.0,8.0,0,,,10.0,,,,,,,,,,,,8E,FEMININO,2016,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,18,
6,2022,7.0,8.0,-1,5.848,QUARTZO,5.0,3.3,4.5,7.9,7.5,,7.222,2.3,5.3,2.3,SIM,NAO,A,FEMININO,2021,ESCOLA PUBLICA,2004,-1.0,18,0.0
6,2023,8.0,8.0,0,,,10.0,,,,,,,,,,,,8E,FEMININO,2021,PRIVADA PAGAMENTO POR EMPRESA PARCEIRA,2004,0.0,19,0.0
